,original_title,Director,Combined,overview
2301,Take Me Home Tonight,Michael Dowse,"Topher Grace,Anna Faris,Dan Fogler,Michael Dowse,Comedy,Drama,Romance,Take Me Home Tonight","Recent MIT grad Matt Franklin (Topher Grace) should be well on his way to a successful career at a Fortune 500 company, but instead, he rebels against maturity by taking a job at a video store. Matt rethinks his position when his unrequited high-school crush, Tori (Teresa Palmer), walks in and invites him to an end-of-summer party. With the help of his twin sister (Anna Faris) and his best friend (Dan Fogler), Matt hatches a plan to change the course of his life."
2302,Won't Back Down,Daniel Barnz,"Viola Davis,Maggie Gyllenhaal,Ving Rhames,Daniel Barnz,Drama,Won't Back Down","Two determined mothers­, one a teacher, look to transform their children's failing inner city school. Facing a powerful and entrenched bureaucracy, they risk everything to make a difference in the education and future of their children"
2303,The Nutcracker,Emile Ardolino,"Darci Kistler,Damian Woetzel,Bart Robinson Cook,Emile Ardolino,Family,Fantasy,Music,The Nutcracker","On Christmas Eve, a little girl named Marie (Cohen) falls asleep after a party at her home and dreams herself into a fantastic world where toys become larger than life. She meets up with the Nutcracker Prince (Culkin) who defends her from the Mouse King."
2304,Kansas City,Robert Altman,"Jennifer Jason Leigh,Miranda Richardson,Harry Belafonte,Robert Altman,Thriller,Drama,Music,Kansas City","Robert Altman's story is a riff on race, class, and power cross-cuts between the two kidnappings and the background of corrupt politics and virtuoso jazz music. It all takes place in Kansas City in 1934."
2305,Indignation,James Schamus,"Logan Lerman,Sarah Gadon,Tracy Letts,James Schamus,Drama,Indignation","In 1951, Marcus Messner, a working-class Jewish student from New Jersey, attends a small Ohio college, where he struggles with anti-Semitism, sexual repression, and the ongoing Korean War."
2306,The Amityville Horror,Andrew Douglas,"Ryan Reynolds,Melissa George,Jesse James,Andrew Douglas,Horror,Thriller,Drama,The Amityville Horror",A family is terrorized by demonic forces after moving into a home that was the site of a grisly mass-murder.
2307,Adaptation.,Spike Jonze,"Nicolas Cage,Meryl Streep,Chris Cooper,Spike Jonze,Comedy,Crime,Drama,Adaptation.",A love-lorn script writer grows increasingly desperate in his quest to adapt the book 'The Orchid Thief'.
2308,Land of the Dead,George A. Romero,"Simon Baker,John Leguizamo,Dennis Hopper,George A. Romero,Horror,Land of the Dead","The world is full of zombies and the survivors have barricaded themselves inside a walled city to keep out the living dead. As the wealthy hide out in skyscrapers and chaos rules the streets, the rest of the survivors must find a way to stop the evolving zombies from breaking into the city."
2309,逃出生天,Danny Pang,"Lau Ching-Wan,Angelica Lee,Chen Sicheng,Danny Pang,Action,逃出生天","On the hottest day in 50 years, a serious fire incident happened to a busy commercial tower, a gaggle of fire fighters with an indestructible enthusiasm are going to save lives."
2310,Fear and Loathing in Las Vegas,Terry Gilliam,"Johnny Depp,Benicio del Toro,Tobey Maguire,Terry Gilliam,Adventure,Drama,Comedy,Fear and Loathing in Las Vegas","The hallucinogenic misadventures of sportswriter Raoul Duke and his Samoan lawyer, Dr. Gonzo, on a three-day romp from Los Angeles to Las Vegas. Motoring across the Mojave Desert on the way to Sin City, Duke and his purple haze passenger ingest a cornucopia of drugs ranging from acid to ether."
2311,The Invention of Lying,Ricky Gervais,"Ricky Gervais,Jennifer Garner,Jonah Hill,Ricky Gervais,Comedy,Romance,Fantasy,The Invention of Lying","Set in a world where the concept of lying doesn't exist, a loser changes his lot when he invents lying and uses it to get ahead."
2312,Neighbors,Nicholas Stoller,"Seth Rogen,Zac Efron,Rose Byrne,Nicholas Stoller,Comedy,Neighbors",A couple with a newborn baby face unexpected difficulties after they are forced to live next to a fraternity house.
2313,The Mask,Chuck Russell,"Jim Carrey,Cameron Diaz,Nancy Fish,Chuck Russell,Romance,Comedy,Crime,The Mask","When timid bank clerk Stanley Ipkiss discovers a magical mask containing the spirit of the Norse god Loki, his entire life changes. While wearing the mask, Ipkiss becomes a supernatural playboy exuding charm and confidence which allows him to catch the eye of local nightclub singer Tina Carlyle. Unfortunately, under the mask's influence, Ipkiss also robs a bank, which angers junior crime lord Dorian Tyrell, whose goons get blamed for the heist."
2314,Big,Penny Marshall,"Tom Hanks,Elizabeth Perkins,Robert Loggia,Penny Marshall,Fantasy,Drama,Comedy,Big","A young boy, Josh Baskin makes a wish at a carnival machine to be big. He wakes up the following morning to find that it has been granted and his body has grown older overnight. But he is still the same 13-year-old boy inside. Now he must learn how to cope with the unfamiliar world of grown-ups including getting a job and having his first romantic encounter with a woman. What will he find out about this strange world?"
2315,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Larry Charles,"Sacha Baron Cohen,Ken Davitian,Luenell,Larry Charles,Comedy,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan","Kazakh journalist Borat Sagdiyev travels to America to make a documentary. As he zigzags across the nation, Borat meets real people in real situations with hysterical consequences. His backwards behavior generates strong reactions around him exposing prejudices and hypocrisies in American culture."
2316,Legally Blonde,Robert Luketic,"Reese Witherspoon,Luke Wilson,Selma Blair,Robert Luketic,Comedy,Legally Blonde","Elle Woods has it all. She's the president of her sorority, a Hawaiian Tropic girl, Miss June in her campus calendar, and, above all, a natural blonde. She dates the cutest fraternity boy on campus and wants nothing more than to be Mrs. Warner Huntington III. But, there's just one thing stopping Warner from popping the question: Elle is too blonde."
2317,Star Trek III: The Search for Spock,Leonard Nimoy,"William Shatner,Leonard Nimoy,DeForest Kelley,Leonard Nimoy,Science Fiction,Action,Adventure,Star Trek III: The Search for Spock",Admiral Kirk and his bridge crew risk their careers stealing the decommissioned Enterprise to return to the restricted Genesis planet to recover Spock's body.
2318,The Exorcism of Emily Rose,Scott Derrickson,"Laura Linney,Tom Wilkinson,Campbell Scott,Scott Derrickson,Crime,Drama,Horror,The Exorcism of Emily Rose","When a younger girl called Emily Rose (Carpenter) dies, everyone puts blame on the exorcism which was performed on her by Father Moore (Wilkinson) prior to her death. The priest is arrested on suspicion of murder. The trail begins with lawyer Erin Bruner (Linney) representing Moore, but it is not going to be easy, as no one wants to believe what Father Moore says is true."
2319,Deuce Bigalow: Male Gigolo,Mike Mitchell,"Rob Schneider,William Forsythe,Eddie Griffin,Mike Mitchell,Comedy,Deuce Bigalow: Male Gigolo","Deuce Bigalow is a less than attractive, down on his luck aquarium cleaner. One day he wrecks the house of a gigolo and needs quick money to repair it. The only way he can make it is to become a gigolo himself, taking on an unusual mix of female clients. He encounters a couple of problems, though. He falls in love with one of his unusual clients, and a sleazy police officer is hot on his trail."
2320,Left Behind,Vic Armstrong,"Nicolas Cage,Chad Michael Murray,Lea Thompson,Vic Armstrong,Thriller,Action,Science Fiction,Left Behind",A small group of survivors are left behind after millions of people suddenly vanish during the rapture and the world is plunged into chaos and destruction.
2321,The Family Stone,Thomas Bezucha,"Claire Danes,Diane Keaton,Rachel McAdams,Thomas Bezucha,Comedy,Drama,Romance,The Family Stone","An uptight, conservative, businesswoman accompanies her boyfriend to his eccentric and outgoing family's annual Christmas celebration and finds that she's a fish out of water in their free-spirited way of life."
2322,Barbershop 2:  Back in Business,Kevin Rodney Sullivan,"Ice Cube,Cedric the Entertainer,Sean Patrick Thomas,Kevin Rodney Sullivan,Comedy,Drama,Barbershop 2:  Back in Business","The continuing adventures of the barbers at Calvin's Barbershop. Gina, a stylist at the beauty shop next door, is now trying to cut in on his buisness. Calvin is again struggling to keep his father's shop and traditions alive--this time against urban developers looking to replace mom &amp; pop establishments with name-brand chains. The world changes, but some things never go out of style--from current events and politics to relationships and love, you can still say anything you want at the barbershop."
2323,Bad Santa,Terry Zwigoff,"Billy Bob Thornton,Tony Cox,Brett Kelly,Terry Zwigoff,Drama,Comedy,Crime,Bad Santa","A miserable conman and his partner pose as Santa and his Little Helper to rob department stores on Christmas Eve. But they run into problems when the conman befriends a troubled kid, and the security boss discovers the plot."
2324,Austin Powers: International Man of Mystery,Jay Roach,"Mike Myers,Elizabeth Hurley,Michael York,Jay Roach,Science Fiction,Comedy,Crime,Austin Powers: International Man of Mystery","As a swingin' fashion photographer by day and a groovy British superagent by night, Austin Powers is the '60s' most shagadelic spy, baby! But can he stop megalomaniac Dr. Evil after the bald villain freezes himself and unthaws in the '90s? With the help of sexy sidekick Vanessa Kensington, he just might."
2325,My Big Fat Greek Wedding 2,Kirk Jones,"John Corbett,Elena Kampouris,Nia Vardalos,Kirk Jones,Romance,Comedy,Family,My Big Fat Greek Wedding 2","The continuing adventures of the Portokalos family. A follow-up to the 2002 comedy, ""My Big Fat Greek Wedding."""
2326,Diary of a Wimpy Kid: Rodrick Rules,David Bowers,"Zachary Gordon,Devon Bostick,Rachael Harris,David Bowers,Family,Comedy,Diary of a Wimpy Kid: Rodrick Rules","Back in middle school after summer vacation, Greg Heffley and his older brother Rodrick must deal with their parents' misguided attempts to have them bond."
2327,Predator,John McTiernan,"Arnold Schwarzenegger,Carl Weathers,Elpidia Carrillo,John McTiernan,Science Fiction,Action,Adventure,Predator","Dutch and his group of commandos are hired by the CIA to rescue downed airmen from guerillas in a Central American jungle. The mission goes well but as they return they find that something is hunting them. Nearly invisible, it blends in with the forest, taking trophies from the bodies of its victims as it goes along. Occasionally seeing through its eyes, the audience sees it is an intelligent alien hunter, hunting them for sport, killing them off one at a time."
2328,Amadeus,Miloš Forman,"F. Murray Abraham,Tom Hulce,Elizabeth Berridge,Miloš Forman,Drama,History,Music,Amadeus","The incredible story of genius musician Wolfgang Amadeus Mozart, told in flashback by his peer and secret rival Antonio Salieri – now confined to an insane asylum."
